[20:04:26] [INFO] received Windows console close event; shutting log-core down
[20:32:42] [INFO] received Windows console close event; shutting log-core down
[20:33:46] [INFO] received Windows console close event; shutting log-core down
[20:46:22] [INFO] received Windows console close event; shutting log-core down
[20:49:54] [INFO] received Windows console close event; shutting log-core down
[20:55:40] [INFO] received Windows console close event; shutting log-core down
[20:56:25] [INFO] received Windows console close event; shutting log-core down
[20:57:08] [INFO] received Windows console close event; shutting log-core down
[21:08:27] [INFO] received Windows console close event; shutting log-core down
[21:09:59] [INFO] received Windows console close event; shutting log-core down
[21:11:47] [INFO] received Windows console close event; shutting log-core down
[21:22:10] [INFO] received Windows console close event; shutting log-core down
[21:22:53] [INFO] received Windows console close event; shutting log-core down
[21:25:31] [INFO] received Windows console close event; shutting log-core down
[23:16:35] [INFO] received Windows console close event; shutting log-core down
[23:53:17] [INFO] received Windows console close event; shutting log-core down
[23:59:34] [INFO] received Windows console close event; shutting log-core down
[00:02:55] [INFO] received Windows console close event; shutting log-core down
[00:47:45] [INFO] received Windows console close event; shutting log-core down
[13:32:45] [INFO] received Windows console close event; shutting log-core down
[13:36:18] [INFO] received Windows console close event; shutting log-core down
[14:21:17] [INFO] received Windows console close event; shutting log-core down
[14:23:15] [INFO] received Windows console close event; shutting log-core down
[14:24:54] [INFO] received Windows console close event; shutting log-core down
[14:36:17] [INFO] received Windows console close event; shutting log-core down
[14:48:20] [INFO] received Windows console close event; shutting log-core down
[14:56:52] [INFO] received Windows console close event; shutting log-core down
[14:58:35] [INFO] received Windows console close event; shutting log-core down
[15:00:13] [INFO] received Windows console close event; shutting log-core down
[15:06:58] [INFO] received Windows console close event; shutting log-core down
[15:26:47] [INFO] received Windows console close event; shutting log-core down
[15:29:34] [INFO] received Windows console close event; shutting log-core down
[15:31:03] [INFO] received Windows console close event; shutting log-core down
[15:51:52] [INFO] received Windows console close event; shutting log-core down
[15:54:01] [INFO] received Windows console close event; shutting log-core down
[16:13:20] [INFO] received Windows console close event; shutting log-core down
